Accession,Disease
PI330196,0.602059991327962
PI329617,0.477121254719662
PI593916,0.903089986991944
PI330168,0.845098040014257
PI152694,0.698970004336019
PI561840,0.954242509439325
PI329519,0.698970004336019
PI570109,0.301029995663981
PI156203,0.301029995663981
PI585577,0.477121254719662
PI152728,0.602059991327962
PI452692,0.301029995663981
PI329584,0.477121254719662
PI92270,0.845098040014257
PI329301,0.477121254719662
PI570145,0.477121254719662
PI562732,0.477121254719662
PI569148,0.477121254719662
PI329843,0.602059991327962
PI569422,0.477121254719662
PI330185,0.477121254719662
PI251672,1
PI619838,0.477121254719662
PI329702,0.301029995663981
PI550604,0.778151250383644
PI297155,0.903089986991944
PI156268,0.477121254719662
PI569427,0.301029995663981
PI643016,0.602059991327962
PI154844,0.477121254719662
PI329394,0.477121254719662
PI563332,0.477121254719662
PI329569,0.477121254719662
PI300119,0.698970004336019
PI521290,0
PI154844,0.602059991327962
PI52606,0.845098040014257
PI152963,0.477121254719662
PI196049,0.602059991327962
PI569446,0.602059991327962
PI562970,0.477121254719662
PI329665,0.602059991327962
PI656015,0.845098040014257
PI563329,0.477121254719662
PI329841,0.477121254719662
PI330181,0.301029995663981
PI181083,0.698970004336019
PI533792,0.845098040014257
PI297155,0.778151250383644
PI455217,0.477121254719662
PI540518,0.845098040014257
PI329256,0.301029995663981
PI569097,0.954242509439325
PI329310,0.301029995663981
PI569443,0.477121254719662
PI329570,0.778151250383644
PI533998,0.845098040014257
PI329710,0.477121254719662
PI642998,0.903089986991944
PI156487,0.602059991327962
PI535794,0.778151250383644
PI156018,0.477121254719662
PI526905,0.845098040014257
PI569423,0.301029995663981
PI452544,0.602059991327962
PI330182,0.301029995663981
PI157804,0.903089986991944
PI562985,0.477121254719662
PI569452,0.477121254719662
PI576399,0.698970004336019
PI156393,0.698970004336019
PI181899,0.903089986991944
PI563330,0.602059991327962
PI329511,0.602059991327962
PI329403,0.602059991327962
PI330168,0.698970004336019
PI642998,0.903089986991944
PI563329,0.698970004336019
PI330181,0.602059991327962
PI181899,0.698970004336019
PI329519,0.602059991327962
PI540518,0.954242509439325
PI521290,0.602059991327962
PI569427,0.301029995663981
PI329710,0.778151250383644
PI533998,0.954242509439325
PI329301,0.477121254719662
PI542718,0.301029995663981
PI329702,0.602059991327962
PI569422,0.602059991327962
PI329256,0.602059991327962
PI569148,0.698970004336019
PI561840,0.954242509439325
PI329665,0.477121254719662
PI563330,0.778151250383644
PI329841,0.602059991327962
PI156393,0.602059991327962
PI297155,0.903089986991944
PI297155,0.954242509439325
PI152963,0.602059991327962
PI570145,0.698970004336019
PI329617,0.477121254719662
PI156268,0.845098040014257
PI329843,0.602059991327962
PI452692,0.602059991327962
PI329569,0.301029995663981
PI569423,0.301029995663981
PI562970,0.602059991327962
PI452544,0.698970004336019
PI329403,0.477121254719662
PI156487,0.477121254719662
PI570109,0.698970004336019
PI196049,0.698970004336019
PI330196,0.301029995663981
PI181083,0.903089986991944
PI52606,1
PI593916,0.954242509439325
PI619838,0.602059991327962
PI156018,0.477121254719662
PI92270,0.845098040014257
PI329310,0.698970004336019
PI569443,0.602059991327962
PI152728,0.477121254719662
PI330185,0.477121254719662
PI656015,1.04139268515823
PI154844,0.778151250383644
PI455217,0.845098040014257
PI535794,0.778151250383644
PI157804,0.845098040014257
PI300119,0.602059991327962
PI562985,0.602059991327962
PI569452,0.778151250383644
PI152694,0.698970004336019
PI585577,0.602059991327962
PI569446,0.301029995663981
PI562732,0.602059991327962
PI563332,0.903089986991944
PI329511,0.698970004336019
PI569421,0.845098040014257
PI251672,0.778151250383644
PI550604,0.903089986991944
PI569097,0.602059991327962
PI576399,0.903089986991944
PI156203,0.301029995663981
PI643016,0.845098040014257
PI329584,0.602059991327962
PI154844,0.698970004336019
PI526905,0.903089986991944
PI329570,0.698970004336019
PI329256,0.698970004336019
PI156203,0.602059991327962
PI643016,0.903089986991944
PI152963,0.602059991327962
PI569097,0.778151250383644
PI452544,0.903089986991944
PI329403,0.903089986991944
PI329570,0.698970004336019
PI533998,0.845098040014257
PI329843,0.602059991327962
PI181083,0.954242509439325
PI569443,0.477121254719662
PI152728,0.845098040014257
PI152694,0.845098040014257
PI297155,0.903089986991944
PI329310,0.698970004336019
PI570109,0.477121254719662
PI156487,0.477121254719662
PI297155,0.903089986991944
PI656015,0.903089986991944
PI330196,0.778151250383644
PI569421,0.845098040014257
PI642998,0.845098040014257
PI92270,1.04139268515823
PI300119,0.698970004336019
PI569148,1
PI329569,0.602059991327962
PI585577,0.845098040014257
PI156268,0.778151250383644
PI330168,1
PI181899,0.845098040014257
PI329301,0.903089986991944
PI330185,0.698970004336019
PI52606,0.778151250383644
PI157804,1
PI455217,0.845098040014257
PI576399,1.04139268515823
PI535794,1.11394335230684
PI251672,0.954242509439325
PI156018,0.778151250383644
PI569452,0.778151250383644
PI569422,0.301029995663981
PI329519,0.778151250383644
PI521290,0.698970004336019
PI533792,0.845098040014257
PI593916,0.903089986991944
PI562985,0.698970004336019
PI330181,0.602059991327962
PI569446,0.301029995663981
PI526905,1.14612803567824
PI540518,1.07918124604762
PI569427,0.778151250383644
PI542718,0.477121254719662
PI563330,0.778151250383644
PI570145,0.778151250383644
PI329511,0.698970004336019
PI550604,1.14612803567824
PI619838,0.602059991327962
PI562970,0.903089986991944
PI561840,0.698970004336019
PI329710,0.301029995663981
PI329702,0.477121254719662
PI329665,0.778151250383644
PI569423,0.602059991327962
PI156393,0.698970004336019
PI154844,0.845098040014257
PI452692,0.602059991327962
PI329584,0.845098040014257
PI329617,0.602059991327962
PI154844,0.602059991327962
PI563332,0.602059991327962
PI196049,0.698970004336019
PI562732,0.477121254719662
PI563329,0.602059991327962
PI329841,0.602059991327962
